base judge R  Y/X  θ
129 T 7.0 4.38 13.19
130 T 7.0 4.38 26.38
131 T 7.0 4.38 39.56
132 T 7.0 4.38 52.75
133 T 7.0 4.38 65.94
134 T 7.0 4.38 79.13
135 T 7.0 4.38 90.00
136 T 8.0 0.00 0.00
137 T 8.0 0.20 0.00
138 T 8.0 0.20 57.67
139 T 8.0 0.20 90.00
140 T 8.0 0.41 0.00
141 T 8.0 0.41 29.40
142 T 8.0 0.41 58.80
143 T 8.0 0.41 90.00
144 T 8.0 0.67 0.00
145 T 8.0 0.67 20.25
146 T 8.0 0.67 40.50
147 T 8.0 0.67 60.75
148 T 8.0 0.67 81.00
149 T 8.0 0.67 90.00
150 T 8.0 1.00 0.00
151 T 8.0 1.00 15.91
152 T 8.0 1.00 31.82
153 T 8.0 1.00 47.73
154 T 8.0 1.00 63.64
155 T 8.0 1.00 79.55
156 T 8.0 1.00 90.00
157 T 8.0 1.50 0.00
158 T 8.0 1.50 13.53
159 T 8.0 1.50 27.06
160 T 8.0 1.50 40.59
161 T 8.0 1.50 54.12
162 T 8.0 1.50 67.65
163 T 8.0 1.50 81.18
164 T 8.0 1.50 90.00
165 T 8.0 2.41 0.00
166 T 8.0 2.41 12.18
167 T 8.0 2.41 24.35
168 T 8.0 2.41 36.53
169 T 8.0 2.41 48.71
170 T 8.0 2.41 60.88
171 T 8.0 2.41 73.06
172 T 8.0 2.41 85.24
173 T 8.0 2.41 90.00
174 T 8.0 5.03 0.00
175 T 8.0 5.03 11.47
176 T 8.0 5.03 22.94
177 T 8.0 5.03 34.41
178 T 8.0 5.03 45.88
179 T 8.0 5.03 57.35
180 T 8.0 5.03 68.82
181 T 8.0 5.03 80.29
182 T 8.0 5.03 90.00
183 T 9.0 0.00 0.00
184 T 9.0 0.18 0.00
185 T 9.0 0.18 57.59
186 T 9.0 0.18 90.00
187 T 9.0 0.36 0.00
188 T 9.0 0.36 29.24
189 T 9.0 0.36 58.48
190 T 9.0 0.36 90.00
191 T 9.0 0.58 0.00
192 T 9.0 0.58 20.00
193 T 9.0 0.58 40.00
194 T 9.0 0.58 60.00
195 T 9.0 0.58 80.00
196 T 9.0 0.58 90.00
197 T 9.0 0.84 0.00
198 T 9.0 0.84 15.56
199 T 9.0 0.84 31.11
200 T 9.0 0.84 46.67
201 T 9.0 0.84 62.23
202 T 9.0 0.84 77.79
203 T 9.0 0.84 90.00
204 T 9.0 1.19 0.00
205 T 9.0 1.19 13.05
206 T 9.0 1.19 26.11
207 T 9.0 1.19 39.16
208 T 9.0 1.19 52.22
209 T 9.0 1.19 65.27
210 T 9.0 1.19 78.32
211 T 9.0 1.19 90.00
212 T 9.0 1.73 0.00
213 T 9.0 1.73 11.55
214 T 9.0 1.73 23.09
215 T 9.0 1.73 34.64
216 T 9.0 1.73 46.19
217 T 9.0 1.73 57.74
218 T 9.0 1.73 69.28
219 T 9.0 1.73 80.83
220 T 9.0 1.73 90.00
221 T 9.0 2.75 0.00
222 T 9.0 2.75 10.64
223 T 9.0 2.75 21.28
224 T 9.0 2.75 31.93
225 T 9.0 2.75 42.57
226 T 9.0 2.75 53.21
227 T 9.0 2.75 63.85
228 T 9.0 2.75 74.49
229 T 9.0 2.75 85.13
230 T 9.0 2.75 90.00
231 T 9.0 5.67 0.00
232 T 9.0 5.67 10.15
233 T 9.0 5.67 20.31
234 T 9.0 5.67 30.46
235 T 9.0 5.67 40.62
236 T 9.0 5.67 50.77
237 T 9.0 5.67 60.93
238 T 9.0 5.67 71.08
239 T 9.0 5.67 81.23
240 T 9.0 5.67 90.00
241 T 10.0 0.00 0.00
242 T 10.0 0.16 0.00
243 T 10.0 0.16 57.53
244 T 10.0 0.16 90.00
245 T 10.0 0.32 0.00
246 T 10.0 0.32 29.12
247 T 10.0 0.32 58.25
248 T 10.0 0.32 90.00
249 T 10.0 0.51 0.00
250 T 10.0 0.51 19.82
251 T 10.0 0.51 39.65
252 T 10.0 0.51 59.47
253 T 10.0 0.51 79.30
254 T 10.0 0.51 90.00
255 T 10.0 0.73 0.00
256 T 10.0 0.73 15.31
257 T 10.0 0.73 30.62
258 T 10.0 0.73 45.94
259 T 10.0 0.73 61.25
260 T 10.0 0.73 76.56
261 T 10.0 0.73 90.00
262 T 10.0 1.00 0.00
263 T 10.0 1.00 12.73
264 T 10.0 1.00 25.46
265 T 10.0 1.00 38.18
266 T 10.0 1.00 50.91
267 T 10.0 1.00 63.64
268 T 10.0 1.00 76.37
269 T 10.0 1.00 90.00
270 T 10.0 1.38 0.00
271 T 10.0 1.38 11.12
272 T 10.0 1.38 22.25
273 T 10.0 1.38 33.37
274 T 10.0 1.38 44.50
275 T 10.0 1.38 55.62
276 T 10.0 1.38 66.75
277 T 10.0 1.38 77.87
278 T 10.0 1.38 90.00
279 T 10.0 1.96 0.00
280 T 10.0 1.96 10.10
281 T 10.0 1.96 20.20
282 T 10.0 1.96 30.30
283 T 10.0 1.96 40.40
284 T 10.0 1.96 50.50
285 T 10.0 1.96 60.61
286 T 10.0 1.96 70.71
287 T 10.0 1.96 80.81
288 T 10.0 1.96 90.00
289 T 10.0 3.08 0.00
290 T 10.0 3.08 9.46
291 T 10.0 3.08 18.93
292 T 10.0 3.08 28.39
293 T 10.0 3.08 37.85
294 T 10.0 3.08 47.32
295 T 10.0 3.08 56.78
296 T 10.0 3.08 66.24
297 T 10.0 3.08 75.71
298 T 10.0 3.08 85.17
299 T 10.0 3.08 90.00
300 T 10.0 6.31 0.00
301 T 10.0 6.31 9.11
302 T 10.0 6.31 18.22
303 T 10.0 6.31 27.34
304 T 10.0 6.31 36.45
305 T 10.0 6.31 45.56
306 T 10.0 6.31 54.67
307 T 10.0 6.31 63.79
308 T 10.0 6.31 72.90
309 T 10.0 6.31 82.01
310 T 10.0 6.31 90.00
311 T 11.0 0.00 0.00
312 T 11.0 0.14 0.00
313 T 11.0 0.14 57.49
314 T 11.0 0.14 90.00
315 T 11.0 0.29 0.00
316 T 11.0 0.29 29.04
317 T 11.0 0.29 58.08
318 T 11.0 0.29 90.00
319 T 11.0 0.46 0.00
320 T 11.0 0.46 19.70
321 T 11.0 0.46 39.39
322 T 11.0 0.46 59.09
323 T 11.0 0.46 78.78
324 T 11.0 0.46 90.00
325 T 11.0 0.64 0.00
326 T 11.0 0.64 15.13
327 T 11.0 0.64 30.27
328 T 11.0 0.64 45.40
329 T 11.0 0.64 60.53
330 T 11.0 0.64 75.67
331 T 11.0 0.64 90.00
332 T 11.0 0.87 0.00
333 T 11.0 0.87 12.49
334 T 11.0 0.87 24.99
335 T 11.0 0.87 37.48
336 T 11.0 0.87 49.98
337 T 11.0 0.87 62.47
338 T 11.0 0.87 74.96
339 T 11.0 0.87 87.46
340 T 11.0 0.87 90.00
341 T 11.0 1.15 0.00
342 T 11.0 1.15 10.83
343 T 11.0 1.15 21.65
344 T 11.0 1.15 32.48
345 T 11.0 1.15 43.30
346 T 11.0 1.15 54.13
347 T 11.0 1.15 64.96
348 T 11.0 1.15 75.78
349 T 11.0 1.15 86.61
350 T 11.0 1.15 90.00
351 T 11.0 1.56 0.00
352 T 11.0 1.56 9.73
353 T 11.0 1.56 19.45
354 T 11.0 1.56 29.18
355 T 11.0 1.56 38.90
356 T 11.0 1.56 48.63
357 T 11.0 1.56 58.35
358 T 11.0 1.56 68.08
359 T 11.0 1.56 77.81
360 T 11.0 1.56 87.53
361 T 11.0 1.56 90.00
362 T 11.0 2.19 0.00
363 T 11.0 2.19 9.00
364 T 11.0 2.19 18.00
365 T 11.0 2.19 27.00
366 T 11.0 2.19 36.00
367 T 11.0 2.19 45.00
368 T 11.0 2.19 54.00
369 T 11.0 2.19 63.00
370 T 11.0 2.19 72.00
371 T 11.0 2.19 81.00
372 T 11.0 2.19 90.00
373 T 11.0 3.41 0.00
374 T 11.0 3.41 9.00
375 T 11.0 3.41 18.00
376 T 11.0 3.41 27.00
377 T 11.0 3.41 36.00
378 T 11.0 3.41 45.00
379 T 11.0 3.41 54.00
380 T 11.0 3.41 63.00
381 T 11.0 3.41 72.00
382 T 11.0 3.41 81.00
383 T 11.0 3.41 90.00
384 T 11.0 6.96 0.00
385 T 11.0 6.96 9.00
386 T 11.0 6.96 18.00
387 T 11.0 6.96 27.00
388 T 11.0 6.96 36.00
389 T 11.0 6.96 45.00
390 T 11.0 6.96 54.00
391 T 11.0 6.96 63.00
392 T 11.0 6.96 72.00
393 T 11.0 6.96 81.00
394 T 11.0 6.96 90.00
395 T 12.0 0.00 0.00
396 T 12.0 0.13 0.00
397 T 12.0 0.13 57.46
398 T 12.0 0.13 90.00
399 T 12.0 0.27 0.00
400 T 12.0 0.27 28.98
401 T 12.0 0.27 57.96
402 T 12.0 0.27 86.93
403 T 12.0 0.27 90.00
404 T 12.0 0.41 0.00
405 T 12.0 0.41 19.60
406 T 12.0 0.41 39.20
407 T 12.0 0.41 58.80
408 T 12.0 0.41 78.39
409 T 12.0 0.41 90.00
410 T 12.0 0.58 0.00
411 T 12.0 0.58 15.00
412 T 12.0 0.58 30.00
413 T 12.0 0.58 45.00
414 T 12.0 0.58 60.00
415 T 12.0 0.58 75.00
416 T 12.0 0.58 90.00
417 T 12.0 0.77 0.00
418 T 12.0 0.77 12.32
419 T 12.0 0.77 24.64
420 T 12.0 0.77 36.96
421 T 12.0 0.77 49.28
422 T 12.0 0.77 61.60
423 T 12.0 0.77 73.92
424 T 12.0 0.77 86.24
425 T 12.0 0.77 90.00
426 T 12.0 1.00 0.00
427 T 12.0 1.00 10.61
428 T 12.0 1.00 21.21
429 T 12.0 1.00 31.82
430 T 12.0 1.00 42.43
431 T 12.0 1.00 53.03
432 T 12.0 1.00 63.64
433 T 12.0 1.00 74.25
434 T 12.0 1.00 84.85
435 T 12.0 1.00 90.00
436 T 12.0 1.30 0.00
437 T 12.0 1.30 9.45
438 T 12.0 1.30 18.91
439 T 12.0 1.30 28.36
440 T 12.0 1.30 37.81
441 T 12.0 1.30 47.27
442 T 12.0 1.30 56.72
443 T 12.0 1.30 66.17
444 T 12.0 1.30 75.63
445 T 12.0 1.30 85.08
446 T 12.0 1.30 90.00
447 T 12.0 1.73 0.00
448 T 12.0 1.73 9.00
449 T 12.0 1.73 18.00
450 T 12.0 1.73 27.00
451 T 12.0 1.73 36.00
452 T 12.0 1.73 45.00
453 T 12.0 1.73 54.00
454 T 12.0 1.73 63.00
455 T 12.0 1.73 72.00
456 T 12.0 1.73 81.00
457 T 12.0 1.73 90.00
458 T 12.0 2.41 0.00
459 T 12.0 2.41 9.00
460 T 12.0 2.41 18.00
461 T 12.0 2.41 27.00
462 T 12.0 2.41 36.00
463 T 12.0 2.41 45.00
464 T 12.0 2.41 54.00
465 T 12.0 2.41 63.00
466 T 12.0 2.41 72.00
467 T 12.0 2.41 81.00
468 T 12.0 2.41 90.00
469 T 12.0 3.73 0.00
470 T 12.0 3.73 9.00
471 T 12.0 3.73 18.00
472 T 12.0 3.73 27.00
473 T 12.0 3.73 36.00
474 T 12.0 3.73 45.00
475 T 12.0 3.73 54.00
476 T 12.0 3.73 63.00
477 T 12.0 3.73 72.00
478 T 12.0 3.73 81.00
479 T 12.0 3.73 90.00
480 T 12.0 7.60 0.00
481 T 12.0 7.60 9.00
482 T 12.0 7.60 18.00
483 T 12.0 7.60 27.00
484 T 12.0 7.60 36.00
485 T 12.0 7.60 45.00
486 T 12.0 7.60 54.00
487 T 12.0 7.60 63.00
488 T 12.0 7.60 72.00
489 T 12.0 7.60 81.00
490 T 12.0 7.60 90.00
